UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Akash Patil,@Akashpatil135,2021-06-05T16:08:22.000Z,"The 7 Best Performers in the #CVOQ are 
1. Mansi Phute
2. Shreya sonawane
3. Vedant ghodke
4. Shubham Deshmukh
5. Ameya Gadkari
6. Mrunal Patil
7. Siddhant Verma
@ShripadBhat7",,,3
Prithviraj Chauhan,@1_Prithviraj_1,2021-06-05T11:49:30.000Z,"The best from the Quiz #CVOQ acc. To me are the ones who are consistent from day 1 + winning them consistently: 
Ameya gadkari
Dashon kagale
Vedant ghodke
Hemant joshi
Rohan Juneja
Kalash gandhi
Without knowing about the results they participated unconditionally 
@ShripadBhat7",4,,10
Dashon Amnaji,@amnaji_dashon,2021-06-05T11:30:00.000Z,"The top 7 performer of #CVOQ acc to me are
1. Ameya Gadkari
2. Vedant Ghodke
3.  Shreya Sonawane
4. Mansi Phute
5. Hemant Joshi
6. Prithviraj Chauhan
7. Fevin Fernandes 
@ShripadBhat7",,,5
Rushikesh Ugalmugale,@RushikeshUgalm5,2021-06-05T11:23:04.000Z,"The 7 Best Performers in the #CVOQ are 
1. Mansi Phute
2. Shreya sonawane
3. Vedant ghodke
4. Shubham Deshmukh
5. Ameya Gadkari
6. Favin fernandes
7. Siddhant Verma
@ShripadBhat7",,,1
Shivani Metangale,@ShivaniMetanga2,2021-06-05T11:21:06.000Z,"The best performers in #CVOQ are
Mansi Phute
Shreya sonawane
Vedant Ghodke
Shubham Deshmukh
Ameya Gadkari
Favin Fernandes
Mrunal Patil
@ShripadBhat7",,,5
Mrunal Patil,@Mrunal_patil_,2021-06-05T11:19:25.000Z,"The 7 Best Performers in the #CVOQ are 
1. Mansi Phute
2. Shreya sonawane
3. Vedant ghodke
4. Shubham Deshmukh
5. Ameya Gadkari
6. Favin fernandes
7. Siddhant Verma
@ShripadBhat7",,,4
Om Kakde,@Om_Kakde,2021-06-05T10:56:05.000Z,"The top 7 performers of #CVOQ are
1. Mansi Phute
2. Shreya Sonawane
3. Vedant Ghodke
4. Ameya Gadkari
5. Fevin Fernandes
6. Rohan Juneja
7. Dashon Amnaji 
@ShripadBhat7",1,,4
Shripad Bhatlawande,@ShripadBhat7,2021-06-02T10:30:06.000Z,Q35. What is Dendrogram? Comment on Its Relevance #CVOQ,35,,7
Shripad Bhatlawande,@ShripadBhat7,2021-06-01T12:30:18.000Z,"Q34. Justify Usage of Following Kernels of Support Vector Machine: 
1. Linear, 
2. Polynomial, and 
3. Radial Basis Function #CVOQ",33,,6
Kalash Gandhi,@kalash_gandhi10,2021-06-01T10:38:03.000Z,"Replying to 
@ShripadBhat7LBP is texture descriptor which models the relationship of pixels to their local neighborhood.
LDP feature is obtained by computing the edge responses values in all eight directions at each pixel position and generating a code from the relative strength magnitude
#CVOQ",,,1
Shripad Bhatlawande,@ShripadBhat7,2021-06-01T10:30:08.000Z,Q33. What is Difference between Local Binary Pattern and Local Directional Pattern? #CVOQ,37,1,18
Kalash Gandhi,@kalash_gandhi10,2021-05-31T12:34:07.000Z,"Replying to 
@ShripadBhat7Confusion matrix visualizes the accuracy of a classifier by comparing the actual and predicted class.
It is a matrix of true positive, false positive, false negative and true negative. Using these parameters, we get a fair idea of how the classifier is performing. #CVOQ",,,4
Shripad Bhatlawande,@ShripadBhat7,2021-05-31T12:30:05.000Z,Q32. What is Confusion Matrix? How is it Relevant to Evaluate Performance of Classifiers? #CVOQ,44,,8
Prithviraj Chauhan,@1_Prithviraj_1,2021-05-31T10:52:45.000Z,"Replying to 
@1_Prithviraj_1
 and 
@ShripadBhat7#CVOQ",,,1
Kalash Gandhi,@kalash_gandhi10,2021-05-31T10:51:12.000Z,"Replying to 
@ShripadBhat7To avoid 2 classes labels achieving the same score as there is a risk of a tie in the decision of which class we should set to a new instance #CVOQ",,,4
Shripad Bhatlawande,@ShripadBhat7,2021-05-31T10:45:06.000Z,Q31. Why Odd Value of K is Recommended in K-Nearest Neighbours? #CVOQ,42,,10
Shripad Bhatlawande,@ShripadBhat7,2021-05-30T12:35:22.000Z,Q30. What is the Difference Between Supervised and Unsupervised Machine Learthing? #CVOQ,46,,10
Shripad Bhatlawande,@ShripadBhat7,2021-05-30T10:30:06.000Z,Q29. What is Over Fitting and Under Fitting of the Data? Which one is Good for Model Creation? #CVOQ,34,,7
Shripad Bhatlawande,@ShripadBhat7,2021-05-29T12:30:25.000Z,Q28. What is the Difference between Standardization and Normalization? Justify Their Usage #CVOQ,34,,5
Shripad Bhatlawande,@ShripadBhat7,2021-05-29T10:30:13.000Z,Q27. What is Feature Bias and Feature Scaling? #CVOQ,36,,4
Shripad Bhatlawande,@ShripadBhat7,2021-05-28T12:30:03.000Z,Q26. Why Treatment of Outliers is Essential? Explain the Use of Box & Whisker Plot in this regard #CVOQ,42,,10
Shripad Bhatlawande,@ShripadBhat7,2021-05-28T10:49:55.000Z,Q25. What is the Significance of Cascading in Viola-Jones Algorithm? #CVOQ,47,,8
Shripad Bhatlawande,@ShripadBhat7,2021-05-27T12:30:14.000Z,Q24. What is Adaboost Algorithm? Justify it's Significance in Viola-Jones Algorithm #CVOQ,33,,7
Shripad Bhatlawande,@ShripadBhat7,2021-05-26T12:32:25.000Z,Q23. What is an Integral Image? How is it Computed? #CVOQ,44,,9
Shripad Bhatlawande,@ShripadBhat7,2021-05-25T12:30:02.000Z,Q22. How Threshold for Haar Features is Computed? #CVOQ,31,,7
Shripad Bhatlawande,@ShripadBhat7,2021-05-24T12:30:02.000Z,Q21. What are the Challenges in Viola-Jones Face Detection Algorithm? Briefly Comment on their Solution #CVOQ,34,,10
Shripad Bhatlawande,@ShripadBhat7,2021-05-22T12:30:03.000Z,"Q20. Compare FAST, BRIEF, ORB, and SIFT. Justify Selection of a Feature Detector / Descriptor #CVOQ",35,,6
Shripad Bhatlawande,@ShripadBhat7,2021-05-20T12:30:08.000Z,Q19. How SIFT Provides 128 Descriptors for a Keypoint? #CVOQ,36,,9
Shripad Bhatlawande,@ShripadBhat7,2021-05-18T12:30:18.000Z,Q17. What is Feature Point Localization in SIFT? #CVOQ,35,,7
Shripad Bhatlawande,@ShripadBhat7,2021-05-17T12:31:25.000Z,Q16. How Scale Space Extrema Detected in SIFT? #CVOQ,49,,13
Shripad Bhatlawande,@ShripadBhat7,2021-05-16T12:30:02.000Z,Q15. What is Scale Space in Scale Invariant Feature Transform (SIFT)? #CVOQ,57,,13
Shripad Bhatlawande,@ShripadBhat7,2021-05-15T12:30:05.000Z,Q14. Is ORB Feature Vetor same as Feature Vector Compiled from FAST + BRIEF? Justify your Answer #CVOQ,49,,8
Shripad Bhatlawande,@ShripadBhat7,2021-05-14T12:30:09.000Z,Q13. What is the Significance of Moments in Oriented Fast and Rotated BRIEF (ORB) Feature Descriptor? #CVOQ,57,,9
Shripad Bhatlawande,@ShripadBhat7,2021-05-13T12:30:27.000Z,Q12. When and How to Use BRIEF and FAST? #CVOQ,54,,11
Shripad Bhatlawande,@ShripadBhat7,2021-05-12T12:30:22.000Z,Q11. Should Multiple Strategies (Geometries) be Simultaneously Applied on the Same Data for Pixel Pairing in BRIEF? Justify your Answer #CVOQ,27,,12
Shripad Bhatlawande,@ShripadBhat7,2021-05-11T12:30:02.000Z,Q10. Why Binary Robust Independent Elementary Features (BRIEF) are Relevant for Real-World Applications? #CVOQ,69,,19
Shripad Bhatlawande,@ShripadBhat7,2021-05-09T12:30:02.000Z,Q8. What is Significance of Entropy / Information Gain in Feature From Accelerated Segment Test (FAST) Algorithm? #CVOQ,63,,12
Shripad Bhatlawande,@ShripadBhat7,2021-05-08T12:30:03.000Z,Q7. Illustrate High Speed Test in Feature From Accelerated Segment Test (FAST) Algorithm #CVOQ,56,,14
Kristel Akouri,@KristelAkouri,2021-04-24T13:44:50.000Z,"Dans cet épisode, l’inspirante Sabrina Dufour nous parle de son rôle d’#orthopédagogue dans une clinique externe de pédopsychiatrie.  
 : http://anchor.fm/micro-orthopedagogie… #cvoq #eduqc 
Bonne écoute! ",,,3
Shripad Bhatlawande,@ShripadBhat7,2021-04-21T12:31:52.000Z,Q5. How Scale and Rotation Invariance are achieved in Scale Invariant Feature Transform? #CVOQ,44,,13
